Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2013/6/14, 09:30:00, 1629.00, 1635.00, 1627.25, 1629.75, 261437, 66264, 130715, 130722
2013/6/14, 10:30:00, 1630.00, 1631.25, 1622.00, 1626.00, 215184, 61247, 113566, 101618
2013/6/14, 11:30:00, 1626.25, 1627.50, 1621.50, 1624.75, 160661, 46705, 81095, 79566
2013/6/14, 12:30:00, 1624.50, 1626.75, 1617.75, 1618.50, 127744, 36175, 71172, 56572
2013/6/14, 13:30:00, 1618.50, 1624.75, 1617.25, 1623.50, 144153, 41285, 65681, 78472
2013/6/14, 14:30:00, 1623.25, 1625.50, 1619.50, 1622.50, 120408, 35916, 59742, 60666
2013/6/14, 15:30:00, 1622.75, 1624.00, 1618.00, 1618.50, 171648, 36274, 99853, 71795
2013/6/17, 09:30:00, 1631.50, 1638.75, 1631.25, 1637.25, 347145, 90365, 170723, 176422
2013/6/17, 10:30:00, 1637.50, 1641.00, 1636.00, 1638.50, 167457, 45903, 86988, 80469
2013/6/17, 11:30:00, 1638.50, 1639.00, 1636.00, 1636.00, 107142, 30453, 56435, 50707
2013/6/17, 12:30:00, 1636.25, 1639.00, 1635.75, 1638.50, 71307, 21131, 35664, 35643
2013/6/17, 13:30:00, 1638.50, 1639.50, 1629.00, 1630.75, 164809, 47944, 92278, 72531
2013/6/17, 14:30:00, 1630.75, 1632.25, 1623.75, 1628.50, 269845, 79625, 136584, 133261
2013/6/17, 15:30:00, 1628.50, 1635.00, 1628.50, 1634.25, 230504, 51959, 107902, 122602
2013/6/18, 09:30:00, 1634.00, 1639.75, 1633.50, 1639.00, 230849, 74602, 112555, 118294
2013/6/18, 10:30:00, 1639.00, 1644.00, 1638.75, 1643.75, 191742, 54644, 92131, 99611
2013/6/18, 11:30:00, 1643.75, 1645.75, 1641.50, 1642.50, 151405, 37465, 76976, 74429
2013/6/18, 12:30:00, 1642.25, 1646.50, 1642.25, 1644.25, 104332, 29602, 49403, 54929
2013/6/18, 13:30:00, 1644.25, 1648.00, 1642.75, 1646.75, 111583, 31799, 55404, 56179
2013/6/18, 14:30:00, 1646.50, 1648.75, 1645.00, 1648.00, 112974, 31643, 55654, 57320
2013/6/18, 15:30:00, 1648.00, 1648.00, 1643.50, 1645.75, 162222, 35246, 81444, 80778
2013/6/19, 09:30:00, 1644.50, 1646.75, 1640.75, 1645.50, 218695, 63352, 109540, 109155
2013/6/19, 10:30:00, 1645.50, 1646.50, 1643.00, 1644.25, 124361, 39551, 64723, 59638
